teamRanking,gamesPlayed,minutesPlayed,pointsScored,twoPointersMade,twoPointersAttempted,twoPointersPercentage,threePointersMade,threePointersAttempted,threePointersPercentage,freeThrowsMade,freeThrowsAttempted,freeThrowsPercentage,offensiveRebounds,defensiveRebounds,totalRebounds,assists,steals,turnovers,blocks,blocksAgainst,foulsCommited,foulsDrawn,pir,team.code,team.tvCodes,team.name,team.imageUrl,season_year,season_code
3,34.0,40.14705882352941,80.9,18.8,34.9,54%,9.1,24.9,36.4%,16.0,20.4,78.4%,10.1,22.6,32.7,17.8,6.5,13.8,2.4,2.9,21.6,20.5,86.2,ASV,ASV,LDLC ASVEL Villeurbanne,https://media-cdn.incrowdsports.com/e33c6d1a-95ca-4dbc-b8cb-0201812104cc.png,2024,E2024
4,34.0,40.14705882352941,79.2,20.2,36.8,55%,7.6,24.3,31.2%,16.0,20.0,80%,9.9,22.2,32.2,18.5,6.1,11.9,2.3,2.3,20.9,21.0,86.9,VIR,VIR,Virtus Bologna,https://media-cdn.cortextech.io/1362801d-dd09-4fd0-932d-ead56063ab77.png,2024,E2024
5,34.0,40.0,86.5,20.3,37.4,54.4%,10.6,30.1,35.3%,13.9,18.1,76.9%,11.8,23.1,34.9,15.9,6.6,10.4,2.0,2.8,21.7,19.6,89.8,PRS,PBB,Paris Basketball,https://media-cdn.incrowdsports.com/a033e5b3-0de7-48a3-98d9-d9a4b9df1f39.png,2024,E2024
6,34.0,40.0,81.8,20.7,38.1,54.2%,9.0,24.0,37.3%,13.5,17.8,75.9%,10.8,21.6,32.4,17.9,7.2,10.8,3.0,2.6,20.5,19.3,91.0,PAR,PAR,Partizan Mozzart Bet Belgrade,https://media-cdn.incrowdsports.com/2681304e-77dd-4331-88b1-683078c0fb49.png,2024,E2024
7,34.0,40.588235294117645,82.8,19.9,36.4,54.6%,9.5,25.9,36.6%,14.5,19.5,74.4%,11.1,22.6,33.7,19.9,6.3,12.3,1.8,2.4,20.9,20.2,91.1,RED,CZV,Crvena Zvezda Meridianbet Belgrade,https://media-cdn.incrowdsports.com/d2eef4a8-62df-4fdd-9076-276004268515.png,2024,E2024
8,34.0,40.0,83.2,17.7,33.5,52.7%,11.2,29.7,37.9%,14.1,17.2,82.1%,11.8,23.7,35.6,17.2,6.1,12.6,2.5,1.7,21.4,19.9,91.3,ULK,FBB,Fenerbahce Beko Istanbul,https://media-cdn.cortextech.io/3b7f020e-5b39-49a1-b4b2-efea918edab7.png,2024,E2024
9,34.0,40.14705882352941,82.6,21.0,38.4,54.6%,9.0,26.1,34.5%,13.6,17.7,76.8%,12.3,23.9,36.2,18.1,5.4,12.1,2.9,3.2,17.6,18.9,92.6,BAS,BKN,Baskonia Vitoria-Gasteiz,https://media-cdn.cortextech.io/cbc49cb0-99ce-4462-bdb7-56983ee03cf4.png,2024,E2024
10,34.0,40.0,87.2,18.1,31.1,58.2%,12.5,32.1,39%,13.4,16.0,83.5%,10.2,21.8,32.1,18.9,6.6,13.4,1.2,2.6,20.4,18.9,93.3,MUN,BAY,FC Bayern Munich,https://media-cdn.incrowdsports.com/817b0e58-d595-4b09-ab0b-1e7cc26249ff.png,2024,E2024
11,34.0,40.0,85.9,23.0,42.1,54.6%,8.1,22.5,35.8%,15.7,19.5,80.6%,12.1,23.2,35.3,19.0,6.1,13.1,1.6,2.6,20.1,20.6,95.4,TEL,MTA,Maccabi Rapyd Tel Aviv,https://media-cdn.cortextech.io/1b533342-78f5-4932-b714-a7d80b5826b5.png,2024,E2024
12,34.0,40.14705882352941,85.4,19.0,35.2,54%,10.0,25.2,39.5%,17.5,21.1,83%,8.8,23.1,31.9,17.3,6.4,12.1,2.0,1.9,19.6,21.7,96.1,MIL,EA7,EA7 Emporio Armani Milan,https://media-cdn.cortextech.io/9512ee73-a0f1-4647-a01e-3c2938aba6b8.png,2024,E2024
13,34.0,40.294117647058826,85.1,21.1,35.3,59.8%,9.3,28.0,33.3%,14.9,19.2,77.9%,10.6,26.4,37.0,18.7,5.8,13.2,2.9,2.0,20.2,20.7,97.7,MAD,RMB,Real Madrid,https://media-cdn.incrowdsports.com/371b0d9b-9250-4c09-bda7-0686cf024657.png,2024,E2024
14,34.0,40.294117647058826,86.3,22.7,40.9,55.5%,8.1,22.5,35.9%,16.6,21.7,76.8%,10.4,23.0,33.4,18.9,6.8,10.6,2.9,2.2,21.2,22.0,98.8,MCO,ASM,AS Monaco,https://media-cdn.incrowdsports.com/89ed276a-2ba3-413f-8ea2-b3be209ca129.png,2024,E2024
15,34.0,40.44117647058823,88.1,23.6,40.8,57.8%,9.6,24.8,38.8%,12.1,15.6,77.5%,10.1,23.6,33.7,20.1,7.5,11.8,2.0,1.9,20.7,19.1,100.3,BAR,BAR,FC Barcelona,https://media-cdn.incrowdsports.com/35dfa503-e417-481f-963a-bdf6f013763e.png,2024,E2024
16,34.0,40.14705882352941,86.8,22.6,38.4,59%,9.4,24.1,38.9%,13.3,16.5,80.7%,10.3,23.2,33.5,18.9,6.8,12.2,3.9,2.1,19.4,19.2,101.6,IST,EFS,Anadolu Efes Istanbul,https://media-cdn.cortextech.io/9a463aa2-ceb2-481c-9a95-1cddee0a248e.png,2024,E2024
17,34.0,40.14705882352941,86.9,20.3,35.1,57.7%,9.7,25.9,37.6%,17.1,22.6,75.9%,10.8,22.7,33.5,21.4,6.4,11.7,2.4,1.9,18.4,20.7,102.7,OLY,OLY,Olympiacos Piraeus,https://media-cdn.incrowdsports.com/789423ac-3cdf-4b89-b11c-b458aa5f59a6.png,2024,E2024
18,34.0,40.14705882352941,88.4,21.9,37.3,58.8%,9.8,25.4,38.7%,15.1,20.1,75.1%,10.2,24.2,34.4,19.4,6.9,11.4,2.7,2.3,17.9,20.7,105.0,PAN,PAO,Panathinaikos AKTOR Athens,https://media-cdn.incrowdsports.com/e3dff28a-9ec6-4faf-9d96-ecbc68f75780.png,2024,E2024
